School,Conference,Coach,SchoolPay,Bonus,BonusPaid,Buyout,GSR,FGR,Capacity,Enrollment,Revenues,W,L,Pct,Conf_W,Conf_L,Conf_Pct,AP_High,AP_Rank,BonusPctPaid,Ranked,Ranking,WinningSeason,SubstantialBonus,PowerFive,ACC,American,Big 12,Big Ten,Conference USA,FBS Independents,Mid-American,Mountain West,Pac-12,SEC,Sun Belt
Air Force,Mountain West,Troy Calhoun,885000,247000,50000,1476060,0.89,0.89,52237,4237,16823588,5,7,0.42,4,4,0.5,0,0,0.2024291497975708,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Akron,Mid-American,Terry Bowden,411000,225000,50000,688500,0.79,0.76,30000,19200,12354872,7,7,0.5,6,2,0.75,0,0,0.2222222222222222,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Alabama,SEC,Nick Saban,8307000,1100000,500000,33600000,0.86,0.65,101821,38500,140831439,13,1,0.93,7,1,0.88,1,1,0.4545454545454545,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Alabama at Birmingham,Conference USA,Bill Clark,900000,950000,165471,3847500,0.69,0.42,71594,21900,28840003,8,5,0.62,6,2,0.75,0,0,0.17418,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Appalachian State,Sun Belt,Scott Satterfield,712500,295000,145000,2160417,0.78,0.6,24150,19100,10198918,9,4,0.69,7,1,0.88,0,0,0.4915254237288136,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1
Arizona,Pac-12,Kevin Sumlin,1600000,2025000,279167,10000000,0.73,0.55,56037,45200,51865116,7,6,0.54,5,4,0.56,23,0,0.1378602469135802,1,0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0
Arizona State,Pac-12,Herm Edwards,2000000,3010000,279167,8166667,0.86,0.66,56232,51800,70375000,7,6,0.54,6,3,0.67,0,0,0.0927465116279069,0,0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0
Arkansas,SEC,Chad Morris,3500000,1000000,375000,12500000,0.84,0.57,72000,27800,99599352,4,8,0.33,1,7,0.13,0,0,0.375,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Arkansas State,Sun Belt,Blake Anderson,825000,185000,25000,300000,0.72,0.45,30964,22000,8593341,7,5,0.58,6,2,0.75,0,0,0.1351351351351351,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Army,FBS Independents,Jeff Monken,932521,262500,20000,916395,0.71,0.71,38000,4300,32704695,10,3,0.77,10,3,0.77,0,0,0.0761904761904762,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0
Auburn,SEC,Gus Malzahn,6700000,1400000,375000,32143750,0.8,0.61,87451,30400,128960499,10,4,0.71,7,1,0.88,4,10,0.2678571428571428,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Ball State,Mid-American,Mike Neu,435689,380000,30000,980300,0.82,0.65,22500,22500,9959351,2,10,0.17,0,8,0.0,0,0,0.0789473684210526,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Baylor,Big 12,Matt Rhule,3703975,825000,68750,11283333,0.91,0.69,45140,17200,50465954,1,11,0.08,1,8,0.11,0,0,0.0833333333333333,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Boise State,Mountain West,Bryan Harsin,1650010,475000,145000,7784038,0.88,0.53,37000,25500,27172138,11,3,0.79,1,1,0.5,22,22,0.3052631578947368,1,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0
Boston College,ACC,Steve Addazio,2514859,1340000,225000,14528125,0.92,0.76,44500,14700,37155617,7,6,0.54,4,4,0.5,0,0,0.167910447761194,0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Bowling Green,Mid-American,Mike Jinks,437228,245000,81250,874456,0.72,0.65,23724,23000,8370915,2,10,0.17,2,6,0.25,0,0,0.3316326530612244,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0
Brigham Young,FBS Independents,Kalani Sitake,716260,262500,20000,916395,0.8,0.59,63725,12300,32704695,4,9,0.31,4,9,0.31,0,0,0.0761904761904762,0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,0,0
Buffalo,Mid-American,Lance Leipold,455500,381000,0,1020833,0.86,0.69,29013,31500,12283034,6,6,0.5,4,4,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
California,Pac-12,Justin Wilcox,1500000,900000,75000,7208500,0.84,0.76,62717,42500,61566987,5,7,0.42,2,7,0.22,0,0,0.0833333333333333,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
Central Florida,American,Josh Heupel,1700000,250000,45000,3587500,0.82,0.68,45323,31036,29550300,13,0,1.0,8,0,1.0,6,6,0.18,1,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Central Michigan,Mid-American,John Bonamego,655000,415000,45000,1125000,0.81,0.73,30255,21700,12314270,8,5,0.62,6,2,0.75,0,0,0.108433734939759,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Charlotte,Conference USA,Brad Lambert,625000,120000,0,556389,0.7,0.68,15314,29700,13572649,1,11,0.08,1,7,0.13,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Cincinnati,American,Luke Fickell,2000000,625000,0,7100000,0.86,0.67,40000,46000,21140792,4,8,0.33,2,6,0.25,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Clemson,ACC,Dabo Swinney,6205000,1125000,500000,35000000,0.88,0.66,81500,25000,72218581,12,2,0.86,7,1,0.88,1,4,0.4444444444444444,1,1,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0
Coastal Carolina,Sun Belt,Joe Moglia,400000,800000,25000,516667,0.81,0.63,15000,10600,10198918,3,9,0.25,2,6,0.25,0,0,0.03125,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Colorado,Pac-12,Mike MacIntyre,2878500,2150000,297000,10314583,0.77,0.56,53750,33200,72425832,5,7,0.42,2,7,0.22,0,0,0.1381395348837209,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
Colorado State,Mountain West,Mike Bobo,1800000,905000,50000,8000000,0.8,0.76,41200,33800,20588154,7,6,0.54,5,3,0.63,0,0,0.0552486187845303,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Connecticut,American,Randy Edsall,1100000,650000,129000,1000000,0.89,0.78,40000,31036,32695983,3,9,0.25,2,6,0.25,0,0,0.1984615384615384,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Duke,ACC,David Cutcliffe,2540928,1340000,225000,14528125,0.96,0.9,40004,15900,35987926,7,6,0.54,3,5,0.38,0,0,0.167910447761194,0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
East Carolina,American,Scottie Montgomery,1102500,850000,0,1233333,0.72,0.67,50000,29100,18270690,3,9,0.25,2,6,0.25,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Eastern Michigan,Mid-American,Chris Creighton,460000,395000,10000,950000,0.73,0.59,30200,20300,12794163,5,7,0.42,3,5,0.38,0,0,0.0253164556962025,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Florida,SEC,Dan Mullen,6070000,925000,375000,12000000,0.93,0.37,88548,56100,117963328,4,7,0.36,3,5,0.38,17,0,0.4054054054054054,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Florida Atlantic,Conference USA,Lane Kiffin,1000000,1150000,40000,2850000,0.75,0.6,30000,30800,12532745,11,3,0.79,8,0,1.0,0,0,0.0347826086956521,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Florida International,Conference USA,Butch Davis,945000,550000,35000,3185626,0.75,0.59,23500,21900,16435347,8,5,0.62,5,3,0.63,0,0,0.0636363636363636,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Florida State,ACC,Willie Taggart,5000000,1475000,225000,21958333,0.58,0.43,82300,41900,94597591,7,6,0.54,3,5,0.38,3,0,0.1525423728813559,1,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Fresno State,Mountain West,Jeff Tedford,1550000,2765000,1240000,5440000,0.69,0.58,41031,25000,18658904,10,4,0.71,5,1,0.83,25,0,0.4484629294755877,1,0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0
Georgia,SEC,Kirby Smart,6603600,1150000,1350000,27917500,0.59,0.39,92746,38200,138088467,13,2,0.87,7,1,0.88,2,2,1.173913043478261,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Georgia Southern,Sun Belt,Chad Lunsford,650000,295000,25000,83333,0.64,0.55,24300,27091,10198918,2,10,0.17,2,6,0.25,0,0,0.0847457627118644,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Georgia State,Sun Belt,Shawn Elliott,569000,220000,60000,1500000,0.81,0.7,23000,52800,10198918,7,5,0.58,5,3,0.63,0,0,0.2727272727272727,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,1
Georgia Tech,ACC,Paul Johnson,3060018,1330000,225000,4000000,0.85,0.7,55000,32700,59422543,5,6,0.46,4,4,0.5,0,0,0.169172932330827,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Hawaii,Mountain West,Nick Rolovich,425004,1260000,0,300000,0.73,0.47,50000,17700,16823588,3,9,0.25,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Houston,American,Major Applewhite,1750000,782500,20000,2112500,0.68,0.58,40000,42700,22613559,7,5,0.58,5,3,0.63,0,0,0.0255591054313099,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Illinois,Big Ten,Lovie Smith,5000000,1000000,50000,12636991,0.91,0.79,60670,51200,52784303,2,10,0.17,0,9,0.0,0,0,0.05,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Indiana,Big Ten,Tom Allen,1830000,1441668,0,2000000,0.85,0.62,52959,43700,61193975,5,7,0.42,2,7,0.22,0,0,0.0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Iowa,Big Ten,Kirk Ferentz,4700000,2875000,600000,22396250,0.87,0.65,70585,33000,100040046,8,5,0.62,4,5,0.44,25,0,0.208695652173913,1,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Iowa State,Big 12,Matt Campbell,3500000,750000,650000,19291667,0.88,0.7,61000,33400,47732812,8,5,0.62,5,4,0.56,14,0,0.8666666666666667,1,0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0
Kansas,Big 12,David Beaty,1701109,2000000,0,3000000,0.83,0.57,50071,27700,64704137,1,11,0.08,0,9,0.0,0,0,0.0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Kansas State,Big 12,Bill Snyder,3500000,580000,50000,3000000,0.93,0.72,50000,21700,68787446,8,5,0.62,5,4,0.56,18,0,0.0862068965517241,1,0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Kent State,Mid-American,Sean Lewis,440000,406000,42500,1150000,0.81,0.59,25319,39300,10308661,2,10,0.17,1,7,0.13,0,0,0.104679802955665,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Kentucky,SEC,Mark Stoops,4000000,3100000,300000,15625000,0.86,0.56,61000,29200,66574141,7,6,0.54,4,4,0.5,0,0,0.0967741935483871,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0
Louisiana Tech,Conference USA,Skip Holtz,700000,395000,0,2508333,0.63,0.48,30600,12400,10385387,7,6,0.54,4,4,0.5,0,0,0.0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Louisiana-Lafayette,Sun Belt,Billy Napier,850000,435000,25000,2671875,0.74,0.55,31000,20550,11804496,5,7,0.42,4,4,0.5,0,0,0.057471264367816,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Louisiana-Monroe,Sun Belt,Matt Viator,390000,50000,0,175000,0.83,0.65,30427,20550,6682465,4,8,0.33,4,4,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Louisville,ACC,Bobby Petrino,3980434,1472917,869917,14056250,0.93,0.82,55000,22600,58011677,8,5,0.62,4,4,0.5,14,0,0.5906082963262695,1,0,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0
LSU,SEC,Ed Orgeron,3500000,1575000,100000,5291667,0.61,0.28,100500,30800,122703938,9,4,0.69,6,2,0.75,12,18,0.0634920634920634,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0
Marshall,Conference USA,Doc Holliday,762570,145000,55000,1951708,0.81,0.66,38019,13200,13067058,8,5,0.62,4,4,0.5,0,0,0.3793103448275862,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0
Maryland,Big Ten,DJ Durkin,2512000,625000,0,5096178,0.83,0.73,54000,41200,49907652,4,8,0.33,2,7,0.22,0,0,0.0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,FBS Independents,Mark Whipple,500000,305000,20000,300000,0.7,0.61,68756,12300,32704695,4,8,0.33,4,8,0.33,0,0,0.0655737704918032,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0
Memphis,American,Mike Norvell,2600000,775000,185000,7431667,0.9,0.62,62380,21500,19849064,10,3,0.77,7,1,0.88,16,25,0.2387096774193548,1,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0
Miami (Fla.),ACC,Mark Richt,4058061,1340000,225000,14528125,0.78,0.47,65236,24700,47820654,10,3,0.77,7,1,0.88,2,13,0.167910447761194,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Miami (Ohio),Mid-American,Chuck Martin,524826,582110,12669,522300,0.92,0.77,24286,22900,12608689,5,7,0.42,4,4,0.5,0,0,0.0217639277799728,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Michigan,Big Ten,Jim Harbaugh,7504000,1325000,150000,17111110,0.96,0.79,107601,46000,133665548,8,5,0.62,5,4,0.56,7,0,0.1132075471698113,1,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Michigan State,Big Ten,Mark Dantonio,4390417,650000,125000,7000000,0.84,0.68,75005,50300,75674898,10,3,0.77,7,2,0.78,13,15,0.1923076923076923,1,1,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
