School,Conference,Coach,SchoolPay,Bonus,BonusPaid,Buyout,GSR,FGR,Capacity,Enrollment,Revenues,W,L,Pct,Conf_W,Conf_L,Conf_Pct,AP_High,AP_Rank,BonusPctPaid,Ranked,Ranking,WinningSeason,SubstantialBonus,PowerFive,ACC,American,Big 12,Big Ten,Conference USA,FBS Independents,Mid-American,Mountain West,Pac-12,SEC,Sun Belt
Middle Tennessee,Conference USA,Rick Stockstill,801504,126142,65142,6633774,0.95,0.64,31000,21900,13572649,7,6,0.54,4,4,0.5,0,0,0.5164180051053574,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0
Minnesota,Big Ten,P.J. Fleck,3550000,900000,0,9291667,0.96,0.78,50805,47800,73576081,5,7,0.42,2,7,0.22,0,0,0.0,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Mississippi,SEC,Matt Luke,3000000,1550000,375000,0,0.73,0.55,58580,30400,78736032,6,6,0.5,3,5,0.38,0,0,0.2419354838709677,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Mississippi State,SEC,Joe Moorhead,2600000,1350000,375000,0,0.74,0.62,64038,22200,50754094,9,4,0.69,4,4,0.5,16,19,0.2777777777777778,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Missouri,SEC,Barry Odom,2350000,1025000,375000,1912500,0.77,0.55,71004,30000,42568466,7,6,0.54,4,4,0.5,0,0,0.3658536585365853,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Navy,American,Ken Niumatalolo,2163000,775000,45000,2112500,0.89,0.89,34000,4600,22231011,7,6,0.54,4,4,0.5,25,0,0.0580645161290322,1,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Nebraska,Big Ten,Scott Frost,5000000,950000,125000,25416667,0.9,0.65,92000,25800,93990274,4,8,0.33,3,6,0.33,0,0,0.131578947368421,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Nevada,Mountain West,Jay Norvell,500000,210000,0,900000,0.84,0.62,29993,21600,14023542,3,9,0.25,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Nevada-Las Vegas,Mountain West,Tony Sanchez,600000,260000,0,950000,0.74,0.61,36800,25500,14741875,5,7,0.42,4,4,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
New Mexico,Mountain West,Bob Davie,822690,340000,0,1303294,0.65,0.42,39224,26300,16789019,3,9,0.25,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
New Mexico State,FBS Independents,Doug Martin,419640,220000,20000,1532790,0.83,0.63,30343,21900,7969929,7,6,0.54,4,4,0.5,0,0,0.0909090909090909,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0
North Carolina,ACC,Larry Fedora,2575000,900000,50000,12215625,0.66,0.55,62980,29800,50024180,3,9,0.25,1,7,0.13,0,0,0.0555555555555555,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
North Carolina State,ACC,Dave Doeren,3000000,1350000,275000,6125000,0.74,0.55,57583,24700,51911816,9,4,0.69,6,2,0.75,14,23,0.2037037037037037,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
North Texas,Conference USA,Seth Littrell,1425000,580000,130000,4425000,0.83,0.62,30850,39400,15870821,9,5,0.64,7,1,0.88,0,0,0.2241379310344827,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Northern Illinois,Mid-American,Rod Carey,633460,205000,42500,1822918,0.82,0.63,24000,20000,10300855,8,5,0.62,6,2,0.75,0,0,0.2073170731707317,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Northwestern,Big Ten,Pat Fitzgerald,3619775,980000,125000,12636991,0.97,0.94,47130,21200,58545202,10,3,0.77,7,2,0.78,17,17,0.1275510204081632,1,1,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Notre Dame,FBS Independents,Brian Kelly,2129638,262500,20000,916395,0.91,0.8,77622,12300,118740294,10,3,0.77,10,3,0.77,3,11,0.0761904761904762,1,1,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0
Ohio,Mid-American,Frank Solich,580331,333833,60772,558275,0.91,0.77,24000,34900,14749167,9,4,0.69,5,3,0.63,0,0,0.1820431173670667,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Ohio State,Big Ten,Urban Meyer,7600000,775000,350000,38058402,0.81,0.53,104944,68100,136574384,12,2,0.86,8,1,0.89,2,5,0.4516129032258064,1,1,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0
Oklahoma,Big 12,Lincoln Riley,4800000,700000,180000,20833333,0.73,0.51,84000,28500,126416865,12,2,0.86,8,1,0.89,2,3,0.2571428571428571,1,1,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0
Oklahoma State,Big 12,Mike Gundy,5000000,900000,62500,16250000,0.74,0.57,60218,25300,63909363,10,3,0.77,6,3,0.67,6,14,0.0694444444444444,1,1,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Old Dominion,Conference USA,Bobby Wilder,654667,504895,0,1200000,0.7,0.51,20118,25000,13572649,5,7,0.42,3,5,0.38,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Oregon,Pac-12,Mario Cristobal,2500000,1825000,279167,5208333,0.73,0.6,54000,22700,81953780,7,6,0.54,4,5,0.44,24,0,0.1529682191780822,1,0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0
Oregon State,Pac-12,Jonathan Smith,1900008,1275000,279167,4037517,0.82,0.69,45674,30900,48212470,1,11,0.08,0,9,0.0,0,0,0.2189545098039215,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
Penn State,Big Ten,James Franklin,4800000,1000000,300000,18375000,0.87,0.71,106572,46600,103736242,11,2,0.85,7,2,0.78,2,8,0.3,1,1,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0
Pittsburgh,ACC,Pat Narduzzi,3017718,1340000,225000,14528125,0.93,0.64,65500,28600,48091636,5,7,0.42,3,5,0.38,0,0,0.167910447761194,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Purdue,Big Ten,Jeff Brohm,3800000,1290000,180000,21516667,0.82,0.65,62500,43400,55132293,7,6,0.54,4,5,0.44,0,0,0.1395348837209302,0,0,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0
Rice,Conference USA,Mike Bloomgren,800000,504895,26250,2850000,0.91,0.88,47000,7100,15429983,1,11,0.08,1,7,0.13,0,0,0.0519910080313728,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Rutgers,Big Ten,Chris Ash,2200000,960000,50000,10350000,0.71,0.55,52454,50200,35376322,4,8,0.33,3,6,0.33,0,0,0.0520833333333333,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0,0,0
San Diego State,Mountain West,Rocky Long,872576,720000,95000,447412,0.84,0.69,70561,34900,19148065,10,3,0.77,6,2,0.75,19,0,0.1319444444444444,1,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
San Jose State,Mountain West,Brent Brennan,590424,210000,0,1476060,0.67,0.61,30456,32800,10923665,2,11,0.15,1,7,0.13,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
South Alabama,Sun Belt,Steve Campbell,600000,295000,25000,918333,0.79,0.57,40646,15100,10198918,4,8,0.33,3,5,0.38,0,0,0.0847457627118644,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
South Carolina,SEC,Will Muschamp,4200000,1400000,100000,18650000,0.89,0.64,80250,50100,101297652,9,4,0.69,5,3,0.63,0,0,0.0714285714285714,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,1,0
South Florida,American,Charlie Strong,1000000,815000,70000,192308,0.79,0.61,65857,50700,24026107,10,2,0.83,6,2,0.75,16,21,0.0858895705521472,1,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0
USC,Pac-12,Clay Helton,2625965,1180000,279167,8583333,0.81,0.6,93607,45700,74174551,11,3,0.79,9,1,0.9,4,12,0.2365822033898305,1,1,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0
Southern Methodist,American,Sonny Dykes,1664500,775000,45000,2112500,0.82,0.67,32000,31036,21848464,7,6,0.54,4,4,0.5,0,0,0.0580645161290322,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Southern Mississippi,Conference USA,Jay Hopson,500000,870000,15000,1583333,0.73,0.56,36000,21900,9776959,8,5,0.62,6,2,0.75,0,0,0.0172413793103448,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Stanford,Pac-12,David Shaw,4311543,1180000,279167,8583333,0.93,0.88,50000,16500,68340862,9,5,0.64,7,3,0.7,14,20,0.2365822033898305,1,1,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0
Syracuse,ACC,Dino Babers,2401206,1340000,225000,14528125,0.88,0.76,49250,22900,44613716,4,8,0.33,2,6,0.25,0,0,0.167910447761194,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Tennessee,SEC,Jeremy Pruitt,3846000,1200000,375000,11780000,0.84,0.52,102521,28900,113766836,4,8,0.33,0,8,0.0,23,0,0.3125,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Texas,Big 12,Tom Herman,5500000,725000,75000,15416667,0.79,0.62,100119,51800,163928296,7,6,0.54,5,4,0.56,23,0,0.1034482758620689,1,0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Texas A&M,SEC,Jimbo Fisher,7500000,1350000,375000,68125000,0.74,0.54,102733,69400,101114415,7,6,0.54,4,4,0.5,0,0,0.2777777777777778,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Texas Christian,Big 12,Gary Patterson,4840717,825000,68750,11283333,0.7,0.57,45000,28500,66084236,11,3,0.79,7,2,0.78,4,9,0.0833333333333333,1,1,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Texas State,Sun Belt,Everett Withers,700000,70833,0,773958,0.7,0.54,30000,38800,10198918,2,10,0.17,1,7,0.13,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Texas Tech,Big 12,Kliff Kingsbury,3703975,1500000,25000,4231250,0.76,0.52,60862,40322,61914432,6,7,0.46,3,6,0.33,24,0,0.0166666666666666,1,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Texas-El Paso,Conference USA,Dana Dimel,700000,741665,26250,2991667,0.85,0.63,51500,21900,12808393,0,12,0.0,0,8,0.0,0,0,0.0353933379625572,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Texas-San Antonio,Conference USA,Frank Wilson,1100000,185000,17500,3562500,0.83,0.62,65000,21900,13572649,6,5,0.55,3,5,0.38,0,0,0.0945945945945946,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Toledo,Mid-American,Jason Candle,1125000,585000,210000,3558333,0.87,0.67,26248,23100,13339849,11,3,0.79,7,1,0.88,0,0,0.358974358974359,0,0,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0
Troy,Sun Belt,Neal Brown,810000,490000,100000,2911667,0.8,0.65,30000,18100,13247801,11,2,0.85,7,1,0.88,0,0,0.2040816326530612,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1
Tulane,American,Willie Fritz,1629000,775000,45000,2112500,0.87,0.76,30000,14100,22231011,5,7,0.42,3,5,0.38,0,0,0.0580645161290322,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
Tulsa,American,Philip Montgomery,1518177,775000,45000,2112500,0.69,0.64,35542,32972,22231011,2,10,0.17,1,7,0.13,0,0,0.0580645161290322,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
UCLA,Pac-12,Chip Kelly,3300000,1085000,279167,9000000,0.71,0.54,89702,45400,64845985,6,7,0.46,4,5,0.44,25,0,0.2572967741935484,1,0,0,1.0,1,0,0,0,0,0,0,0,0,1,0,0
Utah,Pac-12,Kyle Whittingham,3787917,935000,279167,9250000,0.9,0.69,45017,33000,61344782,7,6,0.54,3,6,0.33,20,0,0.2985743315508021,1,0,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0
Utah State,Mountain West,Matt Wells,900000,765000,65000,2122917,0.89,0.68,25513,29400,13904944,6,7,0.46,4,4,0.5,0,0,0.0849673202614379,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0
Vanderbilt,SEC,Derek Mason,2812523,1350000,375000,12500000,0.95,0.77,40550,13100,36915107,5,7,0.42,1,7,0.13,0,0,0.2777777777777778,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0
Virginia,ACC,Bronco Mendenhall,3550000,2165000,75000,18193750,0.86,0.71,61500,24400,31675701,6,7,0.46,3,5,0.38,0,0,0.0346420323325635,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Virginia Tech,ACC,Justin Fuente,4000000,435000,75000,15000000,0.8,0.68,66233,33400,65851157,9,4,0.69,5,3,0.63,12,24,0.1724137931034483,1,1,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Wake Forest,ACC,Dave Clawson,1831580,1340000,225000,14528125,0.89,0.75,31500,8100,32604709,8,5,0.62,4,4,0.5,0,0,0.167910447761194,0,0,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0
Washington,Pac-12,Chris Petersen,4375000,1050000,300000,26354166,0.85,0.56,70138,47900,102248826,10,3,0.77,7,2,0.78,5,16,0.2857142857142857,1,1,1,1.0,1,0,0,0,0,0,0,0,0,1,0,0
Washington State,Pac-12,Mike Leach,3500000,725000,75000,4900000,0.85,0.56,35117,30600,51125157,9,4,0.69,6,3,0.67,8,0,0.1034482758620689,1,0,1,0.0,1,0,0,0,0,0,0,0,0,1,0,0
West Virginia,Big 12,Dana Holgorsen,3605000,1000000,90000,7150000,0.74,0.6,60000,30000,34050353,7,6,0.54,5,4,0.56,22,0,0.09,1,0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0
Western Kentucky,Conference USA,Mike Sanford Jr.,800000,400000,0,1200000,0.74,0.57,22113,20300,13764592,6,7,0.46,4,4,0.5,0,0,0.0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
Western Michigan,Mid-American,Tim Lester,800000,346500,39250,800000,0.74,0.4,30200,22900,12863908,6,6,0.5,4,4,0.5,0,0,0.1132756132756132,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Wisconsin,Big Ten,Paul Chryst,3750000,980000,290000,6000000,0.9,0.81,80321,44400,88713614,13,1,0.93,9,0,1.0,3,7,0.2959183673469387,1,1,1,1.0,1,0,0,0,1,0,0,0,0,0,0,0
Wyoming,Mountain West,Craig Bohl,1412000,450000,236000,8016667,0.87,0.52,29181,12400,20381998,8,5,0.62,0,1,0.0,0,0,0.5244444444444445,0,0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0
